change_event,source_entity,changed_field,direct_effect,derived_effect,must_not_change,requires_user_confirmation,audit_required,validation_rule
Contract supply correction,site,contract_supply_amount,Replace current contract fact,expected_profit and cost_ratio recompute,actual_labor_cost; actual_expense_cost; actual_total_cost,YES,YES,Amount is null or >=0; reason required
Cost budget correction,site,cost_budget_amount,Replace current target budget,cost_budget_remaining recomputes,actual costs; contract supply; expected profit; cost ratio,YES,YES,Amount is null or >=0; never infer from contract
Worker default rate change,worker,current_daily_rate,Future work-log default changes,None,All existing daily_rate_snapshot and labor_amount,YES,YES,Rate >=0 and effective for newly created logs only
Calculated MD edit,work_log,raw_md,Update raw_md and countable_md,labor_amount recalculates from stored snapshot; site/company summaries refresh,worker current rate; expense; source provenance,YES,YES,entry_type NORMAL_WORK; raw_md >=0; labor_source CALCULATED
Historical/manual MD edit,work_log,raw_md,Update MD only after explicit labor decision,Recalculate only if user explicitly converts/overrides labor policy,Existing labor_amount by default; source provenance,YES,YES,Reason and explicit keep-or-replace labor choice required
Work-log site reassignment,work_log,site_id,Move active labor between site scopes,Old/new site labor and profit change,Company labor total; work date; worker; labor amount; linked expense allocations,YES,YES,Target site active/allowed; linked expenses are suggestions only
Transaction amount correction,transaction,original_amount,Create correction/void/superseding source semantics,Allocation state and all affected expense summaries revalidate,Original imported evidence and audit history,YES,YES,Active allocation sum <= corrected amount; FULL iff equal
Expense allocation site move,expense_allocation,site_id,Move allocated expense between sites,Old/new site expense profit and ratios change,Company expense total; transaction source fields,YES,YES,Positive amount; actor may access both sites; total <= source amount
Expense allocation split,expense_allocation,allocated_amount/site_id,Create or update multiple assignments,Site/category totals and mapping status recompute,Transaction original amount; company total allocated expense,YES,YES,Each amount >0; active sum <= original; FULL iff equal
Expense category change,expense_allocation,category,Move amount between assigned categories,Category summaries change,Transaction source_category; source amount; company total expense,YES,YES,Category in controlled vocabulary; reason required
Operational customer reassignment,site,operational_customer_id,Change reporting ownership,Customer-level aggregates regroup,Source/legal aliases; site UUID/code; financial facts,YES,YES,Customer active and actor authorized for both scopes
Card import,transaction,source fingerprint,Append unseen source events only,Mapping suggestions and preview counts generated,Existing sources and allocations,YES,YES,Confirmation after preview; unique scoped fingerprint; no delete/reimport
Repeated card file import,import_batch,source_sha256,Record duplicate/no-op batch result,None,Existing transactions and allocations; all totals,NO,YES,Same source SHA and parser version yields zero inserted source rows
Void transaction,transaction,status/is_void,Exclude void source and its active allocations,Expense totals decrease while evidence remains,Original source payload; UUID; audit chain,YES,YES,Reason required; allocations voided/superseded atomically
Void work log,work_log,is_active,Exclude active labor/MD from summaries,Labor and profit summaries change,Original event payload; UUID; import evidence,YES,YES,Reason required; no hard delete
Restore source,transaction/work_log,status/is_active,Reactivate only same source version,Summaries recompute,Audit history and superseding lineage,YES,YES,No active superseding record; authorization and invariant recheck
Invoice status change,financial_obligation,invoice_status,Change billing lifecycle,Display bucket changes,Settlement facts and source/raw evidence,YES,YES,Allowed transition and direction-aware rule
Settlement status change,financial_obligation,settlement_status,Change collection/payment lifecycle,Receivable/payable bucket changes,Invoice source evidence and site costs,YES,YES,PARTIAL requires settled amount between zero and total
